{'loss': 0.4908, 'grad_norm': 4.375643730163574, 'learning_rate': 2.5007266174504444e-05, 'epoch': 0.5}                                                                      
{'loss': 0.5246, 'grad_norm': 1.9502160549163818, 'learning_rate': 2.497820147648666e-05, 'epoch': 0.5}                                                                      
{'loss': 0.5572, 'grad_norm': 2.3617725372314453, 'learning_rate': 2.4949136778468872e-05, 'epoch': 0.5}                                                                     
{'loss': 0.465, 'grad_norm': 1.4229320287704468, 'learning_rate': 2.4920072080451083e-05, 'epoch': 0.5}                                                                      
{'loss': 0.7249, 'grad_norm': 2.521730661392212, 'learning_rate': 2.4891007382433297e-05, 'epoch': 0.5}                                                                      
{'loss': 0.546, 'grad_norm': 1.9623464345932007, 'learning_rate': 2.4861942684415508e-05, 'epoch': 0.5}                                                                      
{'loss': 0.4415, 'grad_norm': 1.5652668476104736, 'learning_rate': 2.4832877986397722e-05, 'epoch': 0.5}                                                                     
{'loss': 0.5038, 'grad_norm': 1.5996325016021729, 'learning_rate': 2.4803813288379936e-05, 'epoch': 0.5}                                                                     
{'loss': 0.5459, 'grad_norm': 1.9358246326446533, 'learning_rate': 2.4774748590362147e-05, 'epoch': 0.5}                                                                     
{'loss': 0.6271, 'grad_norm': 1.3754748106002808, 'learning_rate': 2.474568389234436e-05, 'epoch': 0.51}                                                                     
{'loss': 0.5997, 'grad_norm': 4.441733360290527, 'learning_rate': 2.4716619194326575e-05, 'epoch': 0.51}                                                                     
{'loss': 0.4632, 'grad_norm': 1.7718623876571655, 'learning_rate': 2.4687554496308786e-05, 'epoch': 0.51}                                                                    
{'loss': 0.4595, 'grad_norm': 2.181562662124634, 'learning_rate': 2.4658489798290996e-05, 'epoch': 0.51}                                                                     
{'loss': 0.6694, 'grad_norm': 1.8206249475479126, 'learning_rate': 2.462942510027321e-05, 'epoch': 0.51}                                                                     
{'loss': 0.644, 'grad_norm': 1.6794182062149048, 'learning_rate': 2.460036040225542e-05, 'epoch': 0.51}                                                                      
{'loss': 0.5687, 'grad_norm': 1.3675849437713623, 'learning_rate': 2.4571295704237635e-05, 'epoch': 0.51}                                                                    
{'loss': 0.4338, 'grad_norm': 2.0816519260406494, 'learning_rate': 2.4542231006219846e-05, 'epoch': 0.51}                                                                    
{'loss': 0.5083, 'grad_norm': 1.2962859869003296, 'learning_rate': 2.451316630820206e-05, 'epoch': 0.51}                                                                     
{'loss': 0.4677, 'grad_norm': 2.5788285732269287, 'learning_rate': 2.448410161018427e-05, 'epoch': 0.51}                                                                     
{'loss': 0.6223, 'grad_norm': 2.577577590942383, 'learning_rate': 2.4455036912166485e-05, 'epoch': 0.51}                                                                     
{'loss': 0.4435, 'grad_norm': 2.3685524463653564, 'learning_rate': 2.4425972214148696e-05, 'epoch': 0.51}                                                                    
{'loss': 0.4791, 'grad_norm': 2.2380189895629883, 'learning_rate': 2.439690751613091e-05, 'epoch': 0.51}                                                                     
{'loss': 0.5549, 'grad_norm': 2.4040520191192627, 'learning_rate': 2.436784281811312e-05, 'epoch': 0.51}                                                                     
{'loss': 0.5726, 'grad_norm': 2.750375747680664, 'learning_rate': 2.4338778120095334e-05, 'epoch': 0.51}                                                                     
{'loss': 0.6307, 'grad_norm': 1.480709195137024, 'learning_rate': 2.4309713422077545e-05, 'epoch': 0.51}                                                                     
{'loss': 0.6792, 'grad_norm': 2.138171672821045, 'learning_rate': 2.4280648724059756e-05, 'epoch': 0.51}                                                                     
{'loss': 0.5124, 'grad_norm': 2.047590970993042, 'learning_rate': 2.425158402604197e-05, 'epoch': 0.52}                                                                      
{'loss': 0.6641, 'grad_norm': 2.4153494834899902, 'learning_rate': 2.422251932802418e-05, 'epoch': 0.52}                                                                     
{'loss': 0.6186, 'grad_norm': 4.045528411865234, 'learning_rate': 2.4193454630006395e-05, 'epoch': 0.52}                                                                     
{'loss': 0.6171, 'grad_norm': 3.666579484939575, 'learning_rate': 2.4164389931988605e-05, 'epoch': 0.52}                                                                     
{'loss': 0.5205, 'grad_norm': 6.74141788482666, 'learning_rate': 2.413532523397082e-05, 'epoch': 0.52}                                                                       
{'loss': 0.6428, 'grad_norm': 2.602384328842163, 'learning_rate': 2.410626053595303e-05, 'epoch': 0.52}                                                                      
{'loss': 0.5202, 'grad_norm': 1.4123352766036987, 'learning_rate': 2.4077195837935244e-05, 'epoch': 0.52}                                                                    
{'loss': 0.5508, 'grad_norm': 2.113421678543091, 'learning_rate': 2.404813113991746e-05, 'epoch': 0.52}                                                                      
{'loss': 0.4906, 'grad_norm': 1.9968363046646118, 'learning_rate': 2.4019066441899673e-05, 'epoch': 0.52}                                                                    
{'loss': 0.719, 'grad_norm': 5.077858924865723, 'learning_rate': 2.3990001743881883e-05, 'epoch': 0.52}                                                                      
{'loss': 0.6116, 'grad_norm': 2.3527791500091553, 'learning_rate': 2.3960937045864097e-05, 'epoch': 0.52}                                                                    
{'loss': 0.5661, 'grad_norm': 4.1871185302734375, 'learning_rate': 2.3931872347846308e-05, 'epoch': 0.52}                                                                    
{'loss': 0.6765, 'grad_norm': 2.339916229248047, 'learning_rate': 2.390280764982852e-05, 'epoch': 0.52}                                                                      
{'loss': 0.5011, 'grad_norm': 3.5303685665130615, 'learning_rate': 2.3873742951810733e-05, 'epoch': 0.52}                                                                    
{'loss': 0.5938, 'grad_norm': 1.7366821765899658, 'learning_rate': 2.3844678253792943e-05, 'epoch': 0.52}                                                                    
{'loss': 0.4619, 'grad_norm': 2.2188122272491455, 'learning_rate': 2.3815613555775158e-05, 'epoch': 0.52}                                                                    
{'loss': 0.5619, 'grad_norm': 2.363389730453491, 'learning_rate': 2.3786548857757368e-05, 'epoch': 0.52}                                                                     
{'loss': 0.6143, 'grad_norm': 5.76080322265625, 'learning_rate': 2.3757484159739582e-05, 'epoch': 0.52}                                                                      
{'loss': 0.5851, 'grad_norm': 1.9629919528961182, 'learning_rate': 2.3728419461721793e-05, 'epoch': 0.53}                                                                    
{'loss': 0.5321, 'grad_norm': 3.561382532119751, 'learning_rate': 2.3699354763704007e-05, 'epoch': 0.53}                                                                     
